,time,neighbor_95,neighbor_96,neighbor_46,neighbor_17,neighbor_5,neighbor_54,neighbor_31,neighbor_92,neighbor_11,neighbor_69,max_95,max_96,max_46,max_17,max_5,max_54,max_31,max_92,max_11,max_69,HI
0,1,0.7996135650896401,0.7624397223076306,0.7924287428078314,0.8051894571985567,0.8090390000550609,0.7769122917966391,0.8244218904741658,0.6955058010704666,0.8334112222730135,0.6964546927170414,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.7674890195733595
1,2,0.7993082809688083,0.7659472622471472,0.8053098024617185,0.7915530892688392,0.8159945670683502,0.7736747527634502,0.8194074678806136,0.7001945568110939,0.8273934855925458,0.7044286972531676,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.7759246574517511
2,3,0.8107462390669198,0.779186546030929,0.8100394414971921,0.7964557791552728,0.8023883445798068,0.7754339043259966,0.8234701594762914,0.6896142404425685,0.8143820169200499,0.7035658874418103,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.7554984932272181
3,4,0.7991745387699372,0.7720423511005846,0.7998331366733857,0.7957724571896299,0.8006862714123505,0.7894711083265974,0.8118081007682874,0.6911695626746841,0.825768871503346,0.7034633571184019,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.7412608084495522
4,5,0.784950959606501,0.7645604627602876,0.8104206478495151,0.807069452475298,0.8056200067464552,0.7861530070441516,0.788178131911617,0.7000494920958567,0.8322572329199798,0.7150891988837965,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.764114565708778
5,6,0.789625781956382,0.7658681735868871,0.8160598789709879,0.8112186461145084,0.8014272734206852,0.78219673749986,0.7938127473324469,0.7160322827074611,0.828049356120174,0.7042687938748851,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.8018679554471998
6,7,0.7958882927406423,0.7470200994044806,0.8051958395099066,0.8114536243818039,0.795638920971683,0.7925110789592319,0.8023142890840399,0.7235386969656131,0.8136987632997299,0.6864277734074075,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.8187831497766871
7,8,0.7783983626101373,0.7527969816258068,0.7909177791306814,0.8237496101206835,0.7980422020839717,0.7927735420709424,0.8067075187979148,0.730749044210939,0.8147229023488055,0.6680292774411407,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.8347194619417637
8,9,0.781018363124201,0.7535968260937529,0.8122741546138965,0.8162356880942377,0.8049867218089494,0.7860878926001156,0.815534230376203,0.7200578471529809,0.8036070232170669,0.6674782621278754,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.821542735642826
9,10,0.8032676666177009,0.7471206082180275,0.8009264474871405,0.8117684013935735,0.7939319054881274,0.7930732646271339,0.8286837160987194,0.7178702110533867,0.7989060010109672,0.6593858222898205,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.8153613562468864
